experimento;limite superior;memoria ocupada en bytes
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
cerrado quadratic id;20000; 35,129,821 
cerrado quadratic name;1000; 2,005,029 
cerrado quadratic name;5000; 8,858,400 
cerrado quadratic name;10000; 17,513,149 
cerrado quadratic name;15000; 29,629,000 
cerrado quadratic name;20000; 35,129,821 
name abierto;1000; 2,799,120 
name abierto;5000; 12,274,733 
name abierto;10000; 24,334,919 
name abierto;15000; 30,390,115 
name abierto;20000; 48,768,938 
id abierto;1000; 2,796,236 
id abierto;5000; 12,258,665 
id abierto;10000; 24,302,165 
id abierto;15000; 30,335,733 
id abierto;20000; 49,530,834 
map stl id;1000; 1,158,066 
map stl id;5000; 5,627,581 
map stl id;10000; 11,066,610 
map stl id;15000; 16,104,542 
map stl id;20000; 22,064,204 
map stl name;1000; 1,158,066 
map stl name;5000; 5,627,581 
map stl name;10000; 11,066,610 
map stl name;15000; 16,104,542 
map stl name;20000; 22,064,204 
cerrado lineal id;1000; 2,005,029 
cerrado lineal id;5000; 8,858,400 
cerrado lineal id;10000; 17,513,149 
cerrado lineal id;15000; 29,629,000 
cerrado lineal id;20000; 35,129,821 
cerrado lineal name;1000; 2,005,029 
cerrado lineal name;5000; 8,858,400 
cerrado lineal name;10000; 17,513,149 
cerrado lineal name;15000; 29,629,000 
cerrado lineal name;20000; 35,129,821 
cerrado double name;1000; 2,005,029 
cerrado double name;5000; 8,858,400 
cerrado double name;10000; 17,513,149 
cerrado double name;15000; 29,629,000 
cerrado double name;20000; 35,129,821 
cerrado double id;1000; 2,005,029 
cerrado double id;5000; 8,858,400 
cerrado double id;10000; 17,513,149 
cerrado double id;15000; 29,629,000 
cerrado double id;20000; 35,129,821 
cerrado quadratic id;1000; 2,005,029 
cerrado quadratic id;5000; 8,858,400 
cerrado quadratic id;10000; 17,513,149 
cerrado quadratic id;15000; 29,629,000 
